Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,79.769997,80.849998,79.279999,80.099998,62.999912,8567900
2019-03-04,80.400002,80.730003,79.110001,79.459999,62.496529,5872500
2019-03-05,79.379997,79.900002,78.720001,78.910004,62.063969,5933100
2019-03-06,79.129997,79.129997,77.559998,78.089996,61.419025,5293200
2019-03-07,77.769997,79.120003,77.440002,78.239998,61.537003,6642500
2019-03-08,77.669998,78.040001,77.089996,77.580002,61.017899,6189100
2019-03-11,77.570000,78.309998,77.269997,78.080002,61.411160,8078100
2019-03-12,78.480003,79.139999,78.050003,78.739998,61.930256,6128800
2019-03-13,78.919998,79.300003,78.150002,78.930000,62.079704,5984500
2019-03-14,79.000000,80.400002,78.410004,79.949997,62.881943,6161800
2019-03-15,80.059998,81.459999,79.110001,81.339996,63.975189,12751100
2019-03-18,81.339996,81.750000,80.279999,80.650002,63.432510,5550100
2019-03-19,80.330002,81.290001,79.510002,80.820000,63.566212,6335500
2019-03-20,80.720001,80.910004,80.059998,80.430000,63.259468,5360900
2019-03-21,79.879997,81.309998,79.260002,81.239998,63.896553,5159200
2019-03-22,80.779999,81.989998,79.690002,79.760002,62.732494,4992500
2019-03-25,79.500000,80.040001,78.410004,79.510002,62.535885,4008400
2019-03-26,79.849998,81.190002,79.800003,80.760002,63.519024,4921900
2019-03-27,81.000000,81.000000,79.800003,79.889999,62.834751,4006200
2019-03-28,80.330002,80.489998,79.500000,79.959999,62.889816,3071000
2019-03-29,80.080002,80.900002,79.959999,80.589996,63.385315,7105900
2019-04-01,80.980003,81.110001,79.970001,80.779999,63.534744,4759400
2019-04-02,80.889999,83.489998,80.800003,83.070000,65.335861,6355800
2019-04-03,83.620003,84.730003,82.790001,83.080002,65.343750,6083500
2019-04-04,83.040001,83.379997,82.070000,82.809998,65.131378,4827900
2019-04-05,82.820000,84.180000,82.669998,83.449997,65.634750,3996300
2019-04-08,83.699997,84.000000,82.779999,83.980003,66.051590,3499200
2019-04-09,83.769997,83.779999,82.500000,82.690002,65.037003,3712700
2019-04-10,83.199997,83.379997,82.599998,82.949997,65.241493,3641900
2019-04-11,83.199997,83.250000,81.230003,81.769997,64.313408,9094200
2019-04-12,80.669998,81.809998,79.839996,80.779999,64.377151,5011500
2019-04-15,80.959999,81.510002,80.370003,81.029999,64.576393,3495500
2019-04-16,81.110001,81.300003,80.019997,80.209999,63.922897,3624700
2019-04-17,80.099998,80.199997,77.550003,77.980003,62.145706,6817100
2019-04-18,78.059998,78.209999,76.809998,77.570000,61.818970,7784900
2019-04-22,77.599998,79.099998,77.500000,78.150002,62.281197,5358600
2019-04-23,78.150002,79.660004,77.750000,78.660004,62.687645,9920600
2019-04-24,79.230003,79.589996,78.440002,78.669998,62.695606,7056400
2019-04-25,80.050003,80.470001,76.910004,79.339996,63.229553,10442900
2019-04-26,79.669998,80.650002,79.400002,79.699997,63.516445,5790000
2019-04-29,80.459999,80.980003,79.910004,80.300003,63.994629,6444500
2019-04-30,80.680000,80.690002,78.680000,79.389999,63.269409,9367400
2019-05-01,79.599998,79.680000,78.610001,78.889999,62.870918,5231700
2019-05-02,78.730003,78.779999,77.599998,78.470001,62.536221,5206300
2019-05-03,78.720001,78.800003,78.250000,78.709999,62.727489,4527300
2019-05-06,77.750000,79.519997,77.339996,79.260002,63.165798,5413200
2019-05-07,78.599998,78.989998,77.169998,77.949997,62.121792,4275300
2019-05-08,77.949997,78.889999,77.320000,77.989998,62.153683,3820700
2019-05-09,77.510002,78.129997,76.730003,77.910004,62.089931,3792200
2019-05-10,77.449997,77.730003,75.620003,77.449997,61.723320,4731800
2019-05-13,76.300003,77.300003,76.169998,76.870003,61.261093,3858400
2019-05-14,77.160004,79.360001,77.000000,78.440002,62.512306,6365200
2019-05-15,78.510002,79.150002,77.480003,78.779999,62.783264,4795700
2019-05-16,78.980003,80.750000,78.709999,79.500000,63.357067,5404700
2019-05-17,78.529999,80.080002,78.019997,79.459999,63.325176,4756400
2019-05-20,79.019997,80.389999,78.910004,79.820000,63.612087,4395500
2019-05-21,80.330002,81.500000,80.320000,80.879997,64.456848,4841900
2019-05-22,80.510002,81.750000,79.879997,81.589996,65.022682,4219500
2019-05-23,80.389999,81.629997,80.320000,81.150002,64.672028,3299100
